  Ex = [mV]  , Ey = [mV]  , Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  12.75797  ,  26.15356  ,  11.75431  ,  1.937866  ,  -4.425049  
  12.61321  ,  17.08984  ,  11.85082  ,  1.867676  ,  -13.45825  
  9.997923  ,  0.3662109  ,  4.535737  ,  0.7080078  ,  -11.50513  
  -0.8685454  ,  -11.53564  ,  -3.039909  ,  -0.9124756  ,  -0.793457  
  -13.18259  ,  -14.80103  ,  -8.202929  ,  -2.420044  ,  12.8479  
  -19.2045  ,  -7.446289  ,  -8.309085  ,  -2.972412  ,  22.36938  
  -16.70502  ,  8.209229  ,  -1.804644  ,  -2.056885  ,  22.15576  
  -1.891499  ,  18.9209  ,  5.249875  ,  -0.1495361  ,  13.42773  
  14.32135  ,  25.08545  ,  11.30074  ,  2.005005  ,  0.9765625  
  20.0441  ,  22.46094  ,  13.60721  ,  2.832031  ,  -10.16235  
  17.67007  ,  6.439209  ,  8.386289  ,  1.849365  ,  -13.85498  
  8.087123  ,  -7.568359  ,  -0.5211273  ,  8.239746E-02  ,  -6.347656  
  -4.719097  ,  -15.50293  ,  -8.164327  ,  -1.733398  ,  7.171631  
  -11.90872  ,  -12.51221  ,  -10.30674  ,  -1.956177  ,  19.83643  
  -13.92568  ,  0.9460449  ,  -6.475489  ,  -1.211548  ,  24.90234  
  -10.64451  ,  12.90894  ,  0.4439232  ,  -0.4882813  ,  19.07349  
  1.167711  ,  21.63696  ,  6.157022  ,  0.3448486  ,  7.93457  
  11.25249  ,  23.86475  ,  9.997923  ,  1.177979  ,  -4.394531  
  13.47211  ,  14.4043  ,  9.274135  ,  1.2146  ,  -12.45117  
  12.19824  ,  -1.281738  ,  1.601984  ,  0.4119873  ,  -9.82666  
  1.177362  ,  -12.75635  ,  -6.079818  ,  -0.9460449  ,  1.037598  
  -12.55531  ,  -16.20483  ,  -11.5227  ,  -2.67334  ,  14.70947  
  -18.59652  ,  -7.781982  ,  -11.61921  ,  -3.579712  ,  24.1394  
  -13.03783  ,  9.307861  ,  -4.101465  ,  -2.212524  ,  23.22388  
  6.649198  ,  21.51489  ,  4.622592  ,  1.159668  ,  13.39722  
  24.8597  ,  27.52686  ,  12.03418  ,  4.711914  ,  -9.155273E-02  
  27.71625  ,  23.22388  ,  14.57226  ,  5.755615  ,  -11.41357  
  19.97655  ,  5.859375  ,  8.608251  ,  3.762817  ,  -14.31274  
  6.89046  ,  -7.720947  ,  -0.1737091  ,  1.034546  ,  -5.981445  
  -8.241531  ,  -15.25879  ,  -7.26683  ,  -1.281738  ,  7.446289  
  -18.56757  ,  -12.57324  ,  -9.785612  ,  -2.566528  ,  19.68384  
  -20.90299  ,  1.403809  ,  -6.224576  ,  -2.578735  ,  24.50562  
  -14.30205  ,  14.22119  ,  1.042255  ,  -1.708984  ,  18.49365  
  0.2123111  ,  23.31543  ,  7.739705  ,  -6.103516E-02  ,  6.68335  
  10.93402  ,  24.6582  ,  11.51305  ,  1.309204  ,  -5.950928  
  13.82917  ,  14.03809  ,  10.26814  ,  1.66626  ,  -13.70239  
  11.89907  ,  -1.953125  ,  2.653889  ,  1.010132  ,  -10.16235  
  -0.6272828  ,  -13.8855  ,  -5.278826  ,  -0.6286621  ,  1.434326  
  -13.83882  ,  -16.6626  ,  -10.84717  ,  -2.423096  ,  15.41138  
  -18.95359  ,  -7.110596  ,  -10.61555  ,  -3.085327  ,  24.59717  
  -15.51801  ,  9.338379  ,  -3.377677  ,  -2.148438  ,  23.25439  
  0.4825252  ,  20.59937  ,  3.908454  ,  -0.1525879  ,  13.5498  
  19.46507  ,  26.58081  ,  10.49975  ,  2.658081  ,  0.4272461  
  29.12522  ,  22.70508  ,  13.3756  ,  4.818726  ,  -10.5896  
  27.07932  ,  5.065918  ,  7.65285  ,  4.61731  ,  -13.27515  
10548,  -10.25391  ,  -2.161713  ,  2.008057  ,  -5.126953  
  -11.4455  ,  -18.98193  ,  -11.81222  ,  -2.078247  ,  8.850098  
  -23.51828  ,  -14.70947  ,  -15.42151  ,  -4.562378  ,  21.30127  
  -22.38917  ,  2.044678  ,  -10.59625  ,  -4.162598  ,  25.87891  
  -11.5227  ,  15.77759  ,  -1.640586  ,  -2.099609  ,  19.37866  
  3.001307  ,  23.9563  ,  5.577992  ,  0.112915  ,  7.232666  
  11.80257  ,  24.32251  ,  9.139028  ,  1.248169  ,  -5.249023  
  13.34665  ,  13.15308  ,  8.000269  ,  1.193237  ,  -12.35962  
  11.09808  ,  -2.288818  ,  0.9071475  ,  0.3601074  ,  -8.178711  
  0.1351071  ,  -13.48877  ,  -6.533392  ,  -1.055908  ,  3.509521  
  -11.11738  ,  -14.9231  ,  -11.27179  ,  -2.313232  ,  16.78467  
  -15.54696  ,  -4.577637  ,  -10.15233  ,  -2.468872  ,  24.59717  
  -13.14399  ,  10.86426  ,  -2.605636  ,  -1.275635  ,  22.18628  
  -8.000269  ,  15.53345  ,  0.6272828  ,  -0.5706787  ,  17.97485  
  2.779345  ,  21.72852  ,  5.413933  ,  0.6500244  ,  8.880615  
  15.02584  ,  23.31543  ,  8.646852  ,  1.547241  ,  -4.150391  
  20.09235  ,  14.09912  ,  7.739705  ,  1.669312  ,  -12.02393  
  19.69668  ,  -1.220703  ,  0.7913414  ,  1.373291  ,  -8.270264  
  9.74701  ,  -10.71167  ,  -4.748048  ,  0.6408691  ,  0.2746582  
  -8.395939  ,  -16.11328  ,  -11.34899  ,  -1.177979  ,  14.16016  
  -19.40717  ,  -8.117676  ,  -12.56496  ,  -2.545166  ,  23.74268  
  -18.31666  ,  9.277344  ,  -5.288476  ,  -2.087402  ,  22.58301  
  -2.711792  ,  21.97266  ,  3.474182  ,  -0.1708984  ,  12.45117  
  9.718059  ,  27.67944  ,  9.718059  ,  1.617432  ,  2.01416  
  15.97159  ,  25.29907  ,  14.14764  ,  2.874756  ,  -10.77271  
  13.11504  ,  6.958008  ,  9.129377  ,  1.867676  ,  -14.98413  
  1.582683  ,  -9.613037  ,  -0.7816909  ,  -0.4760742  ,  -6.317139  
  -9.775961  ,  -17.8833  ,  -8.318735  ,  -2.618408  ,  5.096436  
  -17.97889  ,  -16.26587  ,  -13.30805  ,  -4.18396  ,  19.92798  
  -15.04514  ,  0.6103516  ,  -9.042523  ,  -3.265381  ,  26.55029  
  -3.532085  ,  16.20483  ,  0.8299434  ,  -0.769043  ,  20.44678  
  8.772309  ,  24.68872  ,  7.797608  ,  1.333618  ,  11.1084  
  18.76058  ,  27.06909  ,  13.4335  ,  2.938843  ,  -3.295898  
  17.36126  ,  15.41138  ,  11.80257  ,  2.468872  ,  -13.06152  
  10.07513  ,  -2.01416  ,  2.036257  ,  0.50354  ,  -10.22339  
  -6.6878  ,  -13.76343  ,  -6.813256  ,  -2.096558  ,  1.953125  
  -17.07174  ,  -15.93018  ,  -10.94367  ,  -3.692627  ,  13.00049  
  -18.50002  ,  -6.866455  ,  -10.03652  ,  -3.485107  ,  23.31543  
  -11.29109  ,  10.13184  ,  -1.33177  ,  -1.000977  ,  22.27783  
  2.943404  ,  20.6604  ,  6.243876  ,  1.397705  ,  12.05444  
  13.80022  ,  24.71924  ,  10.97262  ,  2.630615  ,  -1.403809  
  16.65677  ,  21.85059  ,  11.99558  ,  2.804565  ,  -9.735107  
  16.09704  ,  5.706787  ,  7.141374  ,  2.142334  ,  -13.03101  
  6.378983  ,  -8.117676  ,  -0.9167979  ,  0.6134033  ,  -4.425049  
  -8.897765  ,  -16.02173  ,  -8.366987  ,  -1.71814  ,  9.857178  
  -17.56392  ,  -14.09912  ,  -11.00158  ,  -3.115845  ,  19.53125  
  -19.69668  ,  -3.051758E-02  ,  -8.434541  ,  -3.500366  ,  25.08545  
  -8.386289  ,  14.37378  ,  -0.7141374  ,  -1.864624  ,  18.73779  
  11.5227  ,  24.62769  ,  7.286131  ,  1.107788  ,  6.072998  
  21.08635  ,  26.39771  ,  11.4648  ,  2.798462  ,  -3.997803  
  21.9163  ,  15.96069  ,  11.47445  ,  3.158569  ,  -12.93945  
  14.41785  ,  -1.403809  ,  3.348725  ,  1.66626  ,  -9.58252  
  -4.01461  ,  -13.70239  ,  -5.288476  ,  -0.9368896  ,  2.471924  
  -19.87039  ,  -15.96069  ,  -11.18493  ,  -3.344727  ,  16.38794  
  -23.19981  ,  -8.911133  ,  -11.55165  ,  -4.040527  ,  23.37646  
  -15.99089  ,  9.094238  ,  -4.062862  ,  -2.572632  ,  22.70508  
